,dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
815,1994-04-15,llama,guelah-papyrus,paul-and-silas,harry-hood,wilson,chalk-dust-torture,bouncing-around-the-room,its-ice,down-with-disease,maze,if-i-could,the-oh-kee-pa-ceremony,suzy-greenberg,the-landlady,julius,wolfmans-brother,alumni-blues,i-wanna-be-like-you,hold-your-head-up,cavern,magilla,amazing-grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,1994-04-16,runaway-jim,fee,axilla-part-ii,rift,stash,fluffhead,nellie-kane,run-like-an-antelope,sample-in-a-jar,poor-heart,tweezer,the-lizards,julius,bouncing-around-the-room,you-enjoy-myself,the-vibration-of-life,the-squirming-coil,tweezer-reprise,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,1994-04-17,loving-cup,foam,i-didnt-know,divided-sky,mound,down-with-disease,if-i-could,my-sweet-one,cavern,david-bowie,wolfmans-brother,uncle-pen,the-sloth,reba,big-ball-jam,maze,contact,golgi-apparatus,cracklin-rosie,hold-your-head-up,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1994-04-18,chalk-dust-torture,glide,poor-heart,julius,my-friend-my-friend,rift,split-open-and-melt,dog-faced-boy,the-oh-kee-pa-ceremony,acdc-bag,also-sprach-zarathustra,sample-in-a-jar,sparkle,bathtub-gin,big-ball-jam,ya-mar,mikes-song,the-man-who-stepped-into-yesterday,avenu-malkenu,down-with-disease,hold-your-head-up,i-wanna-be-like-you,cavern,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,
819,1994-04-20,runaway-jim,its-ice,julius,bouncing-around-the-room,rift,axilla-part-ii,stash,suzy-greenberg,poor-heart,run-like-an-antelope,magilla,paul-and-silas,sample-in-a-jar,big-ball-jam,harry-hood,fee,you-enjoy-myself,somewhere-over-the-rainbow,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,1994-04-21,chalk-dust-torture,sparkle,foam,glide,split-open-and-melt,the-lizards,down-with-disease,if-i-could,cavern,also-sprach-zarathustra,maze,fluffhead,mikes-song,i-am-hydrogen,weekapaug-groove,scent-of-a-mule,big-ball-jam,possum,amazing-grace,drums,jam,all-along-the-watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,1994-04-22,llama,horn,uncle-pen,punch-you-in-the-eye,sample-in-a-jar,all-things-reconsidered,nellie-kane,divided-sky,the-horse,silent-in-the-morning,david-bowie,suzy-greenberg,julius,reba,tweezer,lifeboy,runaway-jim,hold-your-head-up,i-wanna-be-like-you,the-squirming-coil,piano-duet,bill-bailey-wont-you-please-come-home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,1994-04-23,funky-bitch,rift,fee,peaches-en-regalia,poor-heart,stash,esther,down-with-disease,caravan,high-heel-sneakers,wilson,run-like-an-antelope,mound,sample-in-a-jar,sparkle,harry-hood,ginseng-sullivan,you-enjoy-myself,who-by-fire,golgi-apparatus,free-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,1994-04-24,my-friend-my-friend,ya-mar,axilla-part-ii,maze,bathtub-gin,jump-monk,dog-faced-boy,paul-and-silas,its-ice,slave-to-the-traffic-light,demand,david-bowie,the-mango-song,julius,colonel-forbins-ascent,fly-famous-mockingbird,chalk-dust-torture,contact,good-times-bad-times,sweet-adeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,1994-04-25,the-landlady,runaway-jim,fee,foam,down-with-disease,ginseng-sullivan,dog-faced-boy,tela,poor-heart,split-open-and-melt,the-curtain,sample-in-a-jar,my-minds-got-a-mind-of-its-own,run-like-an-antelope,mound,the-squirming-coil,divided-sky,bouncing-around-the-room,big-ball-jam,big-black-furry-creature-from-mars,amazing-grace,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,1994-04-26,sample-in-a-jar,bouncing-around-the-room,maze,down-with-disease,fluffhead,carefree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,1994-04-28,runaway-jim,foam,sample-in-a-jar,rift,down-with-disease,bouncing-around-the-room,its-ice,run-like-an-antelope,the-squirming-coil,julius,sparkle,good-times-bad-times,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,1994-04-29,halleys-comet,you-enjoy-myself,fast-enough-for-you,scent-of-a-mule,the-sloth,divided-sky,i-didnt-know,dog-faced-boy,split-open-and-melt,sanity,my-minds-got-a-mind-of-its-own,llama,suzy-greenberg,maze,if-i-could,reba,fee,uncle-pen,mikes-song,i-am-hydrogen,weekapaug-groove,i-wanna-be-like-you,hold-your-head-up,cavern,fire,,,,,,,,,,,,,,,,,,,,,,,,,
828,1994-04-30,chalk-dust-torture,mound,stash,poor-heart,sample-in-a-jar,punch-you-in-the-eye,rift,ginseng-sullivan,sweet-adeline,wilson,david-bowie,wolfmans-brother,peaches-en-regalia,harry-hood,axilla-part-ii,mcgrupp-and-the-watchful-hosemasters,possum,purple-rain,hold-your-head-up,big-black-furry-creature-from-mars,sleeping-monkey,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,1994-05-02,the-great-gig-in-the-sky,split-open-and-melt,bouncing-around-the-room,down-with-disease,its-ice,glide,divided-sky,suzy-greenberg,foam,sample-in-a-jar,runaway-jim,mound,reba,golgi-apparatus,the-lizards,julius,lawn-boy,mikes-song,jam,cavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,1994-05-03,rift,guelah-papyrus,maze,sparkle,stash,the-squirming-coil,scent-of-a-mule,sample-in-a-jar,sweet-adeline,david-bowie,if-i-could,fluffhead,down-with-disease,harpua,chalk-dust-torture,i-wanna-be-like-you,hold-your-head-up,slave-to-the-traffic-light,nellie-kane,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,1994-05-04,runaway-jim,foam,sample-in-a-jar,its-ice,sparkle,axilla-part-ii,tweezer,lifeboy,rift,tweezer-reprise,run-like-an-antelope,bouncing-around-the-room,you-enjoy-myself,buried-alive,the-landlady,julius,wolfmans-brother,magilla,suzy-greenberg,caravan,cavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,1994-05-06,down-with-disease,the-oh-kee-pa-ceremony,acdc-bag,poor-heart,my-friend-my-friend,ya-mar,stash,esther,chalk-dust-torture,maze,golgi-apparatus,uncle-pen,sample-in-a-jar,reba,axilla-part-ii,julius,hold-your-head-up,bike,david-bowie,ginseng-sullivan,free-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,1994-05-07,llama,horn,divided-sky,mound,fast-enough-for-you,scent-of-a-mule,split-open-and-melt,if-i-could,suzy-greenberg,loving-cup,sparkle,tweezer,sparks,makisupa-policeman,digital-delay-loop-jam,sweet-emotion,walk-away,cannonball,purple-rain,hold-your-head-up,tweezer-reprise,amazing-grace,sample-in-a-jar,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,1994-05-08,runaway-jim,foam,axilla-part-ii,rift,down-with-disease,bouncing-around-the-room,stash,the-squirming-coil,also-sprach-zarathustra,run-like-an-antelope,its-ice,fee,julius,cavern,you-enjoy-myself,halleys-comet,good-times-bad-times,sweet-adeline,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,1994-05-10,buried-alive,poor-heart,sample-in-a-jar,divided-sky,axilla-part-ii,its-ice,split-open-and-melt,if-i-could,cavern,maze,wilson,reba,julius,scent-of-a-mule,harry-hood,ginseng-sullivan,dog-faced-boy,nellie-kane,david-bowie,the-squirming-coil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,1994-05-12,catapult,rift,down-with-disease,fee,maze,axilla-part-ii,foam,bathtub-gin,the-lizards,sample-in-a-jar,also-sprach-zarathustra,run-like-an-antelope,the-horse,silent-in-the-morning,uncle-pen,fluffhead,lifeboy,possum,hold-your-head-up,love-you,contact,big-black-furry-creature-from-mars,amazing-grace,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,
837,1994-05-13,runaway-jim,its-ice,julius,mound,stash,if-i-could,my-friend-my-friend,slave-to-the-traffic-light,suzy-greenberg,chalk-dust-torture,bouncing-around-the-room,split-open-and-melt,mcgrupp-and-the-watchful-hosemasters,peaches-en-regalia,scent-of-a-mule,you-enjoy-myself,purple-rain,hold-your-head-up,good-times-bad-times,free-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,1994-05-14,llama,wilson,down-with-disease,fee,reba,sample-in-a-jar,my-sweet-one,ginseng-sullivan,david-bowie,the-curtain,mikes-song,i-am-hydrogen,weekapaug-groove,the-man-who-stepped-into-yesterday,avenu-malkenu,punch-you-in-the-eye,fast-enough-for-you,the-lizards,cavern,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,1994-05-16,buried-alive,poor-heart,sample-in-a-jar,divided-sky,axilla-part-ii,rift,down-with-disease,bouncing-around-the-room,stash,sweet-adeline,also-sprach-zarathustra,run-like-an-antelope,big-black-furry-creature-from-mars,sparkle,its-ice,julius,you-enjoy-myself,amazing-grace,fee,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,1994-05-17,suzy-greenberg,maze,mound,if-i-could,scent-of-a-mule,ginseng-sullivan,dog-faced-boy,split-open-and-melt,the-squirming-coil,runaway-jim,glide,tweezer,earache-my-eye,lifeboy,uncle-pen,big-ball-jam,sample-in-a-jar,hold-your-head-up,love-you,slave-to-the-traffic-light,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,1994-05-19,halleys-comet,llama,my-friend-my-friend,poor-heart,stash,the-horse,silent-in-the-morning,down-with-disease,the-mango-song,cavern,sample-in-a-jar,sparkle,mikes-song,i-am-hydrogen,weekapaug-groove,the-lizards,julius,big-ball-jam,harry-hood,golgi-apparatus,ginseng-sullivan,nellie-kane,sweet-adeline,fire,,,,,,,,,,,,,,,,,,,,,,,,,,
842,1994-05-20,fee,maze,if-i-could,its-ice,bathtub-gin,fast-enough-for-you,scent-of-a-mule,dog-faced-boy,carolina,acdc-bag,also-sprach-zarathustra,run-like-an-antelope,weigh,axilla-part-ii,wolfmans-brother,rift,you-enjoy-myself,chalk-dust-torture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,1994-05-21,runaway-jim,foam,guelah-papyrus,down-with-disease,mound,stash,the-squirming-coil,tela,llama,dinner-and-a-movie,sample-in-a-jar,david-bowie,contact,big-ball-jam,julius,hold-your-head-up,bike,harry-hood,amazing-grace,bold-as-love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,1994-05-22,demand,the-sloth,divided-sky,glide,peaches-en-regalia,split-open-and-melt,fluffhead,my-sweet-one,ginseng-sullivan,dog-faced-boy,axilla-part-ii,down-with-disease,bouncing-around-the-room,its-ice,mcgrupp-and-the-watchful-hosemasters,tweezer,lifeboy,rift,slave-to-the-traffic-light,tweezer-reprise,sleeping-monkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,1994-05-23,chalk-dust-torture,sample-in-a-jar,foam,fee,maze,the-horse,silent-in-the-morning,julius,reba,cavern,wilson,run-like-an-antelope,if-i-could,sparkle,punch-you-in-the-eye,you-enjoy-myself,possum,ginseng-sullivan,amazing-grace,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,1994-05-25,the-curtain,sample-in-a-jar,uncle-pen,stash,colonel-forbins-ascent,fly-famous-mockingbird,axilla-part-ii,scent-of-a-mule,my-sweet-one,sweet-adeline,chalk-dust-torture,rift,tweezer,lifeboy,maze,contact,big-ball-jam,julius,hold-your-head-up,purple-rain,the-squirming-coil,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,1994-05-26,buried-alive,poor-heart,cavern,demand,split-open-and-melt,sparkle,its-ice,catapult,divided-sky,sample-in-a-jar,also-sprach-zarathustra,run-like-an-antelope,fluffhead,down-with-disease,mound,ginseng-sullivan,dog-faced-boy,you-enjoy-myself,amazing-grace,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,1994-05-27,wilson,runaway-jim,foam,bouncing-around-the-room,david-bowie,if-i-could,punch-you-in-the-eye,harry-hood,golgi-apparatus,suzy-greenberg,peaches-en-regalia,my-friend-my-friend,reba,the-lizards,julius,nellie-kane,my-minds-got-a-mind-of-its-own,mikes-song,simple,o-mio-babbino-caro,possum,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,1994-05-28,rift,sample-in-a-jar,foam,bouncing-around-the-room,stash,the-horse,silent-in-the-morning,the-sloth,maze,cavern,axilla-part-ii,its-ice,tweezer,lifeboy,reba,fee,llama,you-enjoy-myself,poor-heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,1994-05-29,divided-sky,guelah-papyrus,halleys-comet,down-with-disease,sparkle,julius,i-didnt-know,david-bowie,nellie-kane,split-open-and-melt,esther,chalk-dust-torture,horn,mcgrupp-and-the-watchful-hosemasters,the-oh-kee-pa-ceremony,suzy-greenberg,run-like-an-antelope,free-bird,wilson,golgi-apparatus,rocky-top,jam,harry-hood,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,
851,1994-06-09,llama,guelah-papyrus,rift,down-with-disease,its-ice,if-i-could,maze,fee,suzy-greenberg,split-open-and-melt,glide,julius,halleys-comet,scent-of-a-mule,ginseng-sullivan,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,1994-06-10,runaway-jim,foam,sample-in-a-jar,nellie-kane,demand,david-bowie,the-lizards,cavern,julius,axilla-part-ii,the-curtain,tweezer,lifeboy,sparkle,possum,hold-your-head-up,i-wanna-be-like-you,harry-hood,tweezer-reprise,sleeping-monkey,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,1994-06-11,wilson,chalk-dust-torture,you-enjoy-myself,rift,down-with-disease,its-ice,tela,stash,also-sprach-zarathustra,run-like-an-antelope,fluffhead,scent-of-a-mule,split-open-and-melt,the-squirming-coil,maze,contact,frankenstein,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,1994-06-13,buried-alive,poor-heart,sample-in-a-jar,divided-sky,wolfmans-brother,dinner-and-a-movie,stash,ginseng-sullivan,julius,mikes-song,i-am-hydrogen,weekapaug-groove,esther,cavern,reba,jesus-just-left-chicago,scent-of-a-mule,big-ball-jam,hold-your-head-up,terrapin,slave-to-the-traffic-light,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,1994-06-14,llama,guelah-papyrus,sweet-adeline,digital-delay-loop-jam,rift,down-with-disease,fee,my-friend-my-friend,uncle-pen,i-didnt-know,my-sweet-one,split-open-and-melt,frankenstein,demand,david-bowie,if-i-could,its-ice,sparkle,you-enjoy-myself,hold-your-head-up,bike,possum,sample-in-a-jar,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,1994-06-16,bouncing-around-the-room,rift,julius,fee,maze,gumbo,the-curtain,dog-faced-boy,stash,the-squirming-coil,suzy-greenberg,run-like-an-antelope,colonel-forbins-ascent,fly-famous-mockingbird,kung,big-ball-jam,down-with-disease,contact,big-black-furry-creature-from-mars,purple-rain,hold-your-head-up,golgi-apparatus,ginseng-sullivan,amazing-grace,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,
857,1994-06-17,runaway-jim,foam,glide,split-open-and-melt,if-i-could,punch-you-in-the-eye,bathtub-gin,scent-of-a-mule,cavern,also-sprach-zarathustra,sample-in-a-jar,poor-heart,mikes-song,simple,i-am-hydrogen,weekapaug-groove,harpua,kung,sparkle,big-ball-jam,julius,frankenstein,sleeping-monkey,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,
858,1994-06-18,wilson,rift,acdc-bag,maze,the-mango-song,down-with-disease,its-ice,dog-faced-boy,divided-sky,sample-in-a-jar,peaches-en-regalia,david-bowie,mind-left-body-jam,horn,mcgrupp-and-the-watchful-hosemasters,tweezer,lifeboy,you-enjoy-myself,chalk-dust-torture,bouncing-around-the-room,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,1994-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,1994-06-19,suzy-greenberg,julius,the-lizards,axilla-part-ii,the-curtain,fast-enough-for-you,scent-of-a-mule,stash,golgi-apparatus,faht,run-like-an-antelope,if-i-could,reba,makisupa-policeman,the-squirming-coil,my-sweet-one,highway-to-hell,free-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,1994-06-21,runaway-jim,mound,sample-in-a-jar,its-ice,the-horse,fire,poor-heart,down-with-disease,my-friend-my-friend,split-open-and-melt,esther,chalk-dust-torture,big-black-furry-creature-from-mars,ginseng-sullivan,dog-faced-boy,sweet-adeline,julius,sparkle,harry-hood,suzy-greenberg,amazing-grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,1994-06-22,llama,guelah-papyrus,rift,gumbo,maze,if-i-could,scent-of-a-mule,stash,golgi-apparatus,also-sprach-zarathustra,mikes-song,simple,midnight-rider,catapult,icculus,i-am-hydrogen,weekapaug-groove,the-man-who-stepped-into-yesterday,avenu-malkenu,digital-delay-loop-jam,fluffhead,my-sweet-one,big-ball-jam,jesus-just-left-chicago,sample-in-a-jar,carolina,cavern,,,,,,,,,,,,,,,,,,,,,,,
863,1994-06-23,buried-alive,poor-heart,split-open-and-melt,nicu,foam,bouncing-around-the-room,down-with-disease,silent-in-the-morning,punch-you-in-the-eye,julius,frankenstein,david-bowie,the-mango-song,axilla-part-ii,uncle-pen,tweezer,lifeboy,slave-to-the-traffic-light,sparkle,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,1994-06-24,divided-sky,wilson,its-ice,fee,all-things-reconsidered,the-sloth,paul-and-silas,horn,reba,sweet-adeline,sample-in-a-jar,demand,run-like-an-antelope,halleys-comet,the-curtain,mcgrupp-and-the-watchful-hosemasters,simple,sanity,llama,dog-faced-boy,poor-heart,cavern,carolina,down-with-disease,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,
865,1994-06-25,no2,rift,julius,nicu,stash,the-mango-song,sample-in-a-jar,scent-of-a-mule,tela,chalk-dust-torture,suzy-greenberg,maze,sparkle,bathtub-gin,axilla-part-ii,you-enjoy-myself,hold-your-head-up,cracklin-rosie,harry-hood,golgi-apparatus,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,1994-06-26,kung,llama,the-lizards,tela,wilson,acdc-bag,colonel-forbins-ascent,fly-famous-mockingbird,the-sloth,mcgrupp-and-the-watchful-hosemasters,divided-sky,julius,down-with-disease,if-i-could,axilla-part-ii,lifeboy,sample-in-a-jar,wolfmans-brother,scent-of-a-mule,dog-faced-boy,demand,split-open-and-melt,yerushalayim-shel-zahav,the-old-home-place,amazing-grace,tube,fire,,,,,,,,,,,,,,,,,,,,,,,
867,1994-06-29,the-curtain,sample-in-a-jar,reba,mound,julius,the-horse,silent-in-the-morning,david-bowie,catapult,i-didnt-know,golgi-apparatus,the-landlady,poor-heart,tweezer,its-ice,lifeboy,divided-sky,suzy-greenberg,cavern,ya-mar,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,1994-06-30,down-with-disease,gumbo,rift,guelah-papyrus,split-open-and-melt,glide,scent-of-a-mule,bouncing-around-the-room,frankenstein,wilson,maze,you-enjoy-myself,yerushalayim-shel-zahav,sparkle,axilla-part-ii,harpua,kung,honky-tonk-women,run-like-an-antelope,hold-your-head-up,love-you,chalk-dust-torture,sleeping-monkey,poor-heart,,,,,,,,,,,,,,,,,,,,,,,,,,
869,1994-07-01,runaway-jim,foam,sample-in-a-jar,nicu,stash,the-mango-song,its-ice,tela,julius,suzy-greenberg,david-bowie,if-i-could,fluffhead,down-with-disease,the-man-who-stepped-into-yesterday,avenu-malkenu,possum,hold-your-head-up,terrapin,harry-hood,cavern,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,1994-07-02,golgi-apparatus,divided-sky,guelah-papyrus,fast-enough-for-you,scent-of-a-mule,tweezer,lifeboy,sparkle,tweezer-reprise,also-sprach-zarathustra,mikes-song,simple,yerushalayim-shel-zahav,i-am-hydrogen,weekapaug-groove,mcgrupp-and-the-watchful-hosemasters,maze,sample-in-a-jar,slave-to-the-traffic-light,highway-to-hell,rift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,1994-07-03,my-friend-my-friend,poor-heart,down-with-disease,fee,nicu,horn,the-old-home-place,reba,somewhere-over-the-rainbow,axilla-part-ii,david-bowie,split-open-and-melt,the-lizards,bouncing-around-the-room,its-ice,the-horse,silent-in-the-morning,julius,the-squirming-coil,run-like-an-antelope,suzy-greenberg,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,1994-07-05,rift,sample-in-a-jar,the-curtain,letter-to-jimmy-page,if-i-could,uncle-pen,stash,esther,down-with-disease,sweet-adeline,punch-you-in-the-eye,sparkle,bathtub-gin,lifeboy,cities,you-enjoy-myself,the-great-gig-in-the-sky,hold-your-head-up,ginseng-sullivan,my-sweet-one,amazing-grace,golgi-apparatus,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,1994-07-06,llama,fluffhead,julius,bouncing-around-the-room,reba,axilla-part-ii,my-minds-got-a-mind-of-its-own,carolina,david-bowie,the-landlady,poor-heart,tweezer,lawn-boy,chalk-dust-torture,big-black-furry-creature-from-mars,sample-in-a-jar,harry-hood,tweezer-reprise,the-old-home-place,nellie-kane,memories,funky-bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,1994-07-08,llama,no2,the-lizards,tela,wilson,acdc-bag,colonel-forbins-ascent,fly-famous-mockingbird,the-sloth,mcgrupp-and-the-watchful-hosemasters,divided-sky,rift,sample-in-a-jar,reba,yerushalayim-shel-zahav,its-ice,stash,you-enjoy-myself,frankenstein,julius,golgi-apparatus,nellie-kane,cavern,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,1994-07-09,runaway-jim,foam,gumbo,maze,guelah-papyrus,scent-of-a-mule,down-with-disease,the-horse,silent-in-the-morning,run-like-an-antelope,also-sprach-zarathustra,split-open-and-melt,fluffhead,poor-heart,tweezer,lifeboy,sparkle,big-ball-jam,harry-hood,suzy-greenberg,sleeping-monkey,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,1994-07-10,chalk-dust-torture,horn,peaches-en-regalia,rift,stash,if-i-could,my-friend-my-friend,julius,cavern,sample-in-a-jar,david-bowie,glide,ya-mar,mikes-song,low-rider,i-am-hydrogen,weekapaug-groove,bouncing-around-the-room,the-squirming-coil,crimes-of-the-mind,golgi-apparatus,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,1994-07-13,buried-alive,poor-heart,sample-in-a-jar,foam,the-mango-song,down-with-disease,fee,its-ice,fast-enough-for-you,i-didnt-know,split-open-and-melt,possum,cavern,wilson,nicu,tweezer,julius,big-black-furry-creature-from-mars,mound,slave-to-the-traffic-light,suzy-greenberg,my-sweet-one,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,1994-07-14,runaway-jim,bouncing-around-the-room,punch-you-in-the-eye,stash,the-man-who-stepped-into-yesterday,avenu-malkenu,scent-of-a-mule,fluffhead,the-horse,silent-in-the-morning,run-like-an-antelope,also-sprach-zarathustra,sample-in-a-jar,maze,if-i-could,uncle-pen,you-enjoy-myself,sparkle,big-ball-jam,harry-hood,highway-to-hell,chalk-dust-torture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,1994-07-15,rift,sample-in-a-jar,divided-sky,gumbo,foam,fee,split-open-and-melt,golgi-apparatus,letter-to-jimmy-page,david-bowie,bouncing-around-the-room,reba,its-ice,yerushalayim-shel-zahav,dog-faced-boy,julius,hold-your-head-up,setting-sail,runaway-jim,sleeping-monkey,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,1994-07-16,golgi-apparatus,down-with-disease,no2,stash,the-lizards,cavern,the-horse,silent-in-the-morning,maze,sparkle,sample-in-a-jar,run-like-an-antelope,catapult,harpua,also-sprach-zarathustra,acdc-bag,scent-of-a-mule,harry-hood,contact,chalk-dust-torture,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,1994-10-07,my-friend-my-friend,julius,glide,poor-heart,divided-sky,guelah-papyrus,stash,guyute,golgi-apparatus,maze,the-horse,silent-in-the-morning,reba,wilson,scent-of-a-mule,tweezer,lifeboy,my-sweet-one,tweezer-reprise,foreplaylong-time,cavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,1994-10-08,chalk-dust-torture,horn,sparkle,down-with-disease,guyute,fee,its-ice,lawn-boy,run-like-an-antelope,also-sprach-zarathustra,sample-in-a-jar,rift,mikes-song,simple,i-am-hydrogen,weekapaug-groove,fluffhead,purple-rain,hold-your-head-up,harry-hood,suzy-greenberg,foreplaylong-time,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,1994-10-09,runaway-jim,foam,fast-enough-for-you,the-curtain,dog-faced-boy,split-open-and-melt,the-squirming-coil,david-bowie,bouncing-around-the-room,scent-of-a-mule,you-enjoy-myself,amazing-grace,julius,contact,possum,sleeping-monkey,poor-heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,1994-10-10,sample-in-a-jar,divided-sky,the-horse,silent-in-the-morning,sparkle,stash,guyute,the-old-home-place,ginseng-sullivan,nellie-kane,chalk-dust-torture,golgi-apparatus,maze,esther,tweezer,fee,rift,down-with-disease,hold-your-head-up,love-you,slave-to-the-traffic-light,foreplaylong-time,tweezer-reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,1994-10-12,my-friend-my-friend,reba,the-sloth,poor-heart,split-open-and-melt,the-lizards,guelah-papyrus,julius,sweet-adeline,peaches-en-regalia,david-bowie,bouncing-around-the-room,scent-of-a-mule,you-enjoy-myself,nellie-kane,beaumont-rag,foreplaylong-time,harry-hood,sample-in-a-jar,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,1994-10-13,llama,gumbo,all-things-reconsidered,down-with-disease,i-didnt-know,foam,fast-enough-for-you,sparkle,stash,the-old-home-place,run-like-an-antelope,if-i-could,its-ice,amazing-grace,mikes-song,simple,yerushalayim-shel-zahav,weekapaug-groove,foreplaylong-time,cavern,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,1994-10-14,buried-alive,sample-in-a-jar,divided-sky,the-horse,silent-in-the-morning,punch-you-in-the-eye,bathtub-gin,sweet-adeline,rift,colonel-forbins-ascent,fly-famous-mockingbird,julius,the-curtain,tweezer,lifeboy,guyute,chalk-dust-torture,nellie-kane,beaumont-rag,foreplaylong-time,the-squirming-coil,tweezer-reprise,ya-mar,cavern,,,,,,,,,,,,,,,,,,,,,,,,,,
888,1994-10-15,wilson,sparkle,simple,maze,glide,reba,down-with-disease,golgi-apparatus,also-sprach-zarathustra,runaway-jim,halleys-comet,scent-of-a-mule,you-enjoy-myself,catapult,amazing-grace,foreplaylong-time,bouncing-around-the-room,suzy-greenberg,drums,the-maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
